applicantId,applicationDate,firstName,lastName,gender,birthDate,phoneNumber,email,address,educationLevel,yearsOfExperience,jobTitle,status,supplierName,customerName,skills
1001,3 Jun 23,Scott,Sheppard,Male,8/31/1992,421-429-7655x39421,perezjanet@example.org,597 Smith PointHollandfort57588Micronesia,High School,8,Chief Technology Officer,Interviewing,Amasarte,EG Corp.,"python, sql, power bi, .NET, C#, azure"
1002,15 May 23,Stanley,Lewis,Male,4/29/1965,+1-451-574-5308x1681,grossmark@example.com,8116 Stuart LoopPort Margaretfurt14726Greenland,Bachelor's Degree,17,"Designer, furniture",Rejected,Egar,GA Inc.,"spark, python, sql, tableau, azure"
1003,4 Aug 23,Javier,Li,Female,3 10 1973,(858)901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075Dianaland4699China,PhD,20,"Sound technician, broadcasting/film/video",Rejected,Glazila,SP Ltd.,"spark, python, sql, tableau, azure"
1004,28 Jul 23,Christopher,Johnston,Other,4 04 2001,(853)681-1839x2010,sheila73@example.com,442 Lewis MountYoungfurt34455Ghana,High School,8,Air cabin crew,Rejected,Jamval,AJM Corp.,"python, sql, power bi, .NET, C#, azure"
1005,5 Jun 23,Melissa,Hicks,Other,6/17/1978,364-575-8478x67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169East Ashleyborough21014Solomon Islands,Master's Degree,0,Art therapist,Interviewing,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1006,26 Jul 23,Christian,Maddox,Female,6/14/1983,(894)940-2919,pvelasquez@example.net,3030 Bell IslandsBoonefort34763Liberia,Master's Degree,18,"Engineer, electronics",In Review,LieTan,JR Ltd.,"power bi, sql, snowflake, databricks, azure"
1007,9 Jun 23,Paul,Hammond,Female,8/16/1963,,aclayton@example.net,58473 Jenna TrailPort Barry57472Congo,High School,11,"Scientist, research (maths)",Offered,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1008,15 Jul 23,Madison,Williamson,Male,9 07 1978,001-902-992-9557x692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212New Luisfort71682Pitcairn Islands,Bachelor's Degree,0,"Teacher, primary school",Offered,Seapuy,LB Inc.,"power bi, sql, snowflake, databricks, azure"
1009,16 Jun 23,Rachael,Duran,Male,9 11 1997,+1-738-583-6354x63335,hamptontimothy@example.net,375 Flowers WellAmandashire25218Spain,High School,15,Phytotherapist,Interviewing,Velvias,VT Ltd.,"python, sql, power bi, .NET, C#, azure"
1010,25 May 23,Sherri,Taylor,Male,4/24/1983,915.372.0499,cshaw@example.net,037 Quinn RouteGarrisonmouth82074Gabon,Master's Degree,4,"Pilot, airline",Offered,Amasarte,EG Corp.,"power bi, sql, snowflake, databricks, azure"
1011,14 May 23,Jennifer,Weaver,Other,10/22/1998,852.435.8495,sloankrista@example.org,700 Quinn Green Suite 066Haileyville37729Switzerland,PhD,19,Theatre director,In Review,Egar,GA Inc.,"power bi, sql, snowflake, databricks, azure"
1012,4 Jun 23,Kyle,Blake,Other,3/25/2001,001-527-907-9332x4819,shelia63@example.net,611 Thomas Dam Suite 296East Melinda62970China,Bachelor's Degree,7,Corporate treasurer,Applied,Glazila,SP Ltd.,"spark, python, sql, tableau, azure"
1013,23 Jul 23,James,Bailey,Female,5 12 1983,(606)926-6770,fraziermichelle@example.net,4469 Holt Divide Suite 740Hahnberg61409Guam,Master's Degree,12,Accounting technician,Offered,Jamval,AJM Corp.,"power bi, sql, snowflake, databricks, azure"
1014,12 Jun 23,Heidi,Wood,Male,11/20/1965,(209)368-2818x1932,brentswanson@example.org,527 Jamie ViaductChristopherberg34112Central African Republic,Bachelor's Degree,9,Learning disability nurse,Rejected,Jaz Rum,JN Inc.,"power bi, sql, snowflake, databricks, azure"
1015,4 Jul 23,Johnny,Nguyen,Other,11/23/1971,001-970-594-9559x42440,clarkdawn@example.net,621 Mitchell Glen Apt. 704Leehaven82030Kenya,Bachelor's Degree,2,Web designer,Rejected,LieTan,JR Ltd.,"python, sql, power bi, .NET, C#, azure"
1016,26 Jul 23,Olivia,Watson,Female,8 09 1970,,rachel98@example.com,3578 Warren Prairie Suite 287North Ariel37858Belize,Master's Degree,2,"Scientist, research (physical sciences)",Interviewing,Lloctoy,JT Corp.,"spark, python, sql, tableau, azure"
1017,16 May 23,Anita,Jenkins,Male,1 02 2004,409-660-9413,charles11@example.net,6505 Dawn BurgTonyville54454Morocco,Master's Degree,20,Higher education lecturer,In Review,Seapuy,LB Inc.,"power bi, sql, snowflake, databricks, azure"
